単語,意味
spaghetti,スパゲッティ
social studies,社会（科）
close,閉じる、閉める
camera,カメラ
ariplane,飛行機
pilow,枕
hat,帽子
happy,幸せ
baseball,野球
eraser,消しゴム
scissors,はさみ
stomach,おなか
short,短い
cabbage,キャベツ
neck,首
cup,カップ
strawberry,いちご
hungry,お腹が空いた
give,与える
blackboard,黒板
aunt,おばあさん
kitchen,キッチン
gloves,手袋
science,理科／科学
necklace,ネックレス
blanket,ブランケット
square,正方形／広場
twelve,12
restaurant,レストラン
head,頭
knee,膝
potato,ポテト
notebook,ノート
jeans,ジーンズ
cousin,いとこ
clean,掃除する
draw,絵を描く
cherries,さくらんぼ
boat,船
jump,跳ぶ
chair,椅子
desk,机
drum,ドラム
sunny,晴れた
early,早い
music,音楽
orange juice,オレンジジュース
river,川
flower,花
zoo,動物園
crocodile,ワニ
socks,くつ下
salad,サラダ
foot,足
cucumber,きゅうり
shoes,くつ
volleyball,バレーボール
sister,姉／妹
dress,ドレス
banana,バナナ
chalk,チョーク
